"Year","Month","Day","Hour","Minute","Temperature"
2017,10,12,0,0,14.14
2017,10,12,1,0,14.32
2017,10,12,2,0,14.48
2017,10,12,3,0,14.37
2017,10,12,4,0,13.69
2017,10,12,5,0,13.21
2017,10,12,6,0,12.85
2017,10,12,7,0,12.46
2017,10,12,8,0,10.73
2017,10,12,9,0,11.36
2017,10,12,10,0,13.54
2017,10,12,11,0,15.57
2017,10,12,12,0,17.08
2017,10,12,13,0,18.12
2017,10,12,14,0,19.07
2017,10,12,15,0,19.29
2017,10,12,16,0,19.36
2017,10,12,17,0,18.98
2017,10,12,18,0,18.14
2017,10,12,19,0,16.63
2017,10,12,20,0,15.94
2017,10,12,21,0,15.43
2017,10,12,22,0,15.05
2017,10,12,23,0,14.23
2017,10,13,0,0,13.49
2017,10,13,1,0,13.15
2017,10,13,2,0,12.71
2017,10,13,3,0,12.09
2017,10,13,4,0,11.41
2017,10,13,5,0,10.47
2017,10,13,6,0,9.89
2017,10,13,7,0,9.87
2017,10,13,8,0,9.94
2017,10,13,9,0,10.43
2017,10,13,10,0,11.52
2017,10,13,11,0,13.69
2017,10,13,12,0,16.05
2017,10,13,13,0,17.9
2017,10,13,14,0,19.31
2017,10,13,15,0,20.18
2017,10,13,16,0,20.58
2017,10,13,17,0,20.63
2017,10,13,18,0,20.13
2017,10,13,19,0,19.52
2017,10,13,20,0,19.08
2017,10,13,21,0,18.19
2017,10,13,22,0,17.01
2017,10,13,23,0,15.96
2017,10,14,0,0,15.09
2017,10,14,1,0,14.53
2017,10,14,2,0,14.21
2017,10,14,3,0,13.49
2017,10,14,4,0,12.95
2017,10,14,5,0,12.27
2017,10,14,6,0,11.26
2017,10,14,7,0,10.65
2017,10,14,8,0,10.5
2017,10,14,9,0,10.78
2017,10,14,10,0,11.53
2017,10,14,11,0,14.15
2017,10,14,12,0,16.59
2017,10,14,13,0,18.94
2017,10,14,14,0,19.88
2017,10,14,15,0,20.91
2017,10,14,16,0,21.34
